62.3082 	EXP 	fixation: autoDraw = True
62.8082 	INFO 	Keyboard events cleared
62.8077 	EXP 	fixation: autoDraw = False
62.8077 	EXP 	grating: autoDraw = True
63.0599 	DATA 	Keypress: right
63.0743 	EXP 	fixation: autoDraw = False
63.0743 	EXP 	grating: autoDraw = False
63.0743 	EXP 	grating: ori = -4.0
63.0743 	EXP 	fixation: autoDraw = True
63.5745 	INFO 	Keyboard events cleared
63.5741 	EXP 	fixation: autoDraw = False
63.5741 	EXP 	grating: autoDraw = True
63.8738 	EXP 	grating: autoDraw = False
64.0081 	DATA 	Keypress: left
64.0405 	EXP 	fixation: autoDraw = False
64.0405 	EXP 	grating: autoDraw = False
64.0405 	EXP 	grating: ori = 4.0
64.0405 	EXP 	fixation: autoDraw = True
64.5410 	INFO 	Keyboard events cleared
64.5405 	EXP 	grating: autoDraw = True
64.5564 	EXP 	fixation: autoDraw = False
64.8423 	DATA 	Keypress: left
64.8565 	EXP 	grating: autoDraw = False
64.8565 	EXP 	fixation: autoDraw = False
64.8565 	EXP 	grating: autoDraw = False
64.8565 	EXP 	grating: ori = 4.5
64.8565 	EXP 	fixation: autoDraw = True
65.3558 	INFO 	Keyboard events cleared
65.3553 	EXP 	fixation: autoDraw = False
65.3553 	EXP 	grating: autoDraw = True
65.6551 	EXP 	grating: autoDraw = False
65.7239 	DATA 	Keypress: right
65.7385 	EXP 	fixation: autoDraw = False
